ASListID	AwokenSkillOne	AwokenSkillTwo	AwokenSkillThree	AwokenSkillFour	AwokenSkillFive	AwokenSkillSix	AwokenSkillSeven	AwokenSkillEight	AwokenSkillNine
2944	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
827	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
411	'Enhanced Light Orbs'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3503	'Enhanced Wood Orbs'	'Recover Bind'	'Enhanced Heart Orbs'	'Resistance-Skill Bind'	'Extend Time'	'Skill Boost'	'Resistance-Bind'	'Resistance-Bind'	'Extend Time'	
1213	'Resistance-Jammers'	'Skill Boost'	'Enhanced Light Attribute'	NULL	NULL	NULL	NULL	NULL	NULL	
1289	'Enhanced Light Orbs'	'Resistance-Dark'	'Enhanced Light Attribute'	'Resistance-Dark'	'Skill Boost'	'Multi Boost'	NULL	NULL	NULL	
2039	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2819	'Enhanced Light Orbs'	'Resistance-Bind'	'Resistance-Bind'	'Extend Time'	'Skill Boost'	'Two-Pronged Attack'	NULL	NULL	NULL	
3046	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2696	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3103	'Enhanced Water Attribute'	'Resistance-Skill Bind'	'Skill Boost'	'Enhanced Water Attribute'	'Skill Boost'	'Enhanced Water Attribute'	'Enhanced Water Attribute'	NULL	NULL	
2262	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2312	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
28	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2638	'Resistance-Poison'	'Skill Boost'	'Extend Time'	NULL	NULL	NULL	NULL	NULL	NULL	
136	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1986	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1591	'Skill Boost'	'Enhanced Fire Orbs'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1476	'Enhanced Dark Orbs'	'Enhanced Water Orbs'	'Enhanced Dark Attribute'	'Two-Pronged Attack'	'Enhanced Water Attribute'	'Resistance-Skill Bind'	'Skill Boost'	'Two-Pronged Attack'	NULL	
2928	'Enhanced Light Orbs'	'Two-Pronged Attack'	'Skill Boost'	'Auto-Recover'	'Auto-Recover'	'Auto-Recover'	'Auto-Recover'	NULL	NULL	
2116	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2518	'Enhanced Heart Orbs'	'Enhanced Heart Orbs'	'Skill Boost'	'Enhanced Light Attribute'	NULL	NULL	NULL	NULL	NULL	
753	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2252	'Enhanced Fire Attribute'	'Enhanced Fire Attribute'	'Two-Pronged Attack'	'Two-Pronged Attack'	NULL	NULL	NULL	NULL	NULL	
3273	'Resistance-Bind'	'Resistance-Bind'	'Resistance-Skill Bind'	'Resistance-Dark'	'Extend Time'	'Skill Boost'	'Skill Boost'	'Enhanced Light Orbs'	'Extend Time'	
3320	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3534	'Auto-Recover'	'Resistance-Bind'	'Resistance-Bind'	'Recover Bind'	'Skill Boost'	'Resistance-Skill Bind'	'Extend Time'	'Guard Break'	NULL	
3002	'Enhanced Wood Orbs'	'Enhanced Wood Orbs'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2693	'Extend Time'	'Resistance-Bind'	'Resistance-Bind'	NULL	NULL	NULL	NULL	NULL	NULL	
359	'Skill Boost'	'Enhanced Heart Orbs'	'Enhanced Light Attribute'	'Enhanced Light Orbs'	'Enhanced Light Orbs'	NULL	NULL	NULL	NULL	
638	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3269	'Two-Pronged Attack'	'Auto-Recover'	'Skill Boost'	'Enhanced Light Attribute'	'Enhanced Light Attribute'	'Auto-Recover'	'Enhanced Light Attribute'	'Enhanced Light Orbs'	'Resistance-Skill Bind'	
1258	'Skill Boost'	'Enhanced Water Attribute'	'Skill Boost'	'Enhanced Water Attribute'	NULL	NULL	NULL	NULL	NULL	
3554	'Skill Boost'	'Skill Boost'	'Resistance-Skill Bind'	'Extend Time'	'Enhanced Dark Orbs'	'Enhanced Dark Orbs'	'Enhanced Dark Attribute'	'Enhanced Dark Attribute'	'Enhanced Dark Attribute'	
3376	'Enhanced Wood Attribute'	'Enhanced Wood Attribute'	'Enhanced Heart Orbs'	'Skill Boost'	'Resistance-Skill Bind'	'Devil Killer'	NULL	NULL	NULL	
1709	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2808	'Two-Pronged Attack'	'Skill Boost'	'Extend Time'	'Skill Boost'	'Enhanced Wood Attribute'	NULL	NULL	NULL	NULL	
2029	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2547	'Auto-Recover'	'Auto-Recover'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1318	'Enhanced Light Attribute'	'Auto-Recover'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3153	'Skill Boost'	'Two-Pronged Attack'	'Extend Time'	'Extend Time'	'Resistance-Skill Bind'	'Resistance-Dark'	'Resistance-Dark'	NULL	NULL	
1978	'Enhanced Dark Attribute'	'Skill Boost'	'Resistance-Skill Bind'	'Enhanced Dark Attribute'	NULL	NULL	NULL	NULL	NULL	
3258	'Resistance-Skill Bind'	'Skill Boost'	'Extend Time'	NULL	NULL	NULL	NULL	NULL	NULL	
1626	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2663	'Two-Pronged Attack'	'Skill Boost'	'Enhanced Fire Orbs'	'Resistance-Skill Bind'	'Enhanced Fire Orbs'	'Enhanced Heart Orbs'	'Skill Boost'	'Enhanced Fire Orbs'	'Extend Time'	
2702	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
987	'Enhanced Wood Orbs'	'Two-Pronged Attack'	'Resistance-Bind'	'Resistance-Bind'	'Dragon Killer'	'Devil Killer'	NULL	NULL	NULL	
2602	'Skill Boost'	'Skill Boost'	'Skill Boost'	'Resistance-Skill Bind'	'Extend Time'	NULL	NULL	NULL	NULL	
624	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1778	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3456	'Two-Pronged Attack'	'Skill Boost'	'Resistance-Dark'	NULL	NULL	NULL	NULL	NULL	NULL	
619	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2389	'Recover Bind'	'Resistance-Jammers'	'Resistance-Dark'	'Resistance-Skill Bind'	'Two-Pronged Attack'	'Extend Time'	'Resistance-Bind'	'Resistance-Bind'	'Skill Boost'	
89	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
647	'Enhanced Dark Attribute'	'Enhanced Dark Attribute'	'Enhanced Dark Attribute'	NULL	NULL	NULL	NULL	NULL	NULL	
506	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2587	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
403	'Resistance-Bind'	'Skill Boost'	'Enhanced Wood Attribute'	NULL	NULL	NULL	NULL	NULL	NULL	
739	'Skill Boost'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3638	'Resistance-Bind'	'Resistance-Bind'	'Extend Time'	'Skill Boost'	'Resistance-Skill Bind'	'Multi Boost'	NULL	NULL	NULL	
315	'Skill Boost'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1200	'Enhanced Fire Attribute'	'Enhanced Fire Orbs'	'Two-Pronged Attack'	'Two-Pronged Attack'	'Two-Pronged Attack'	NULL	NULL	NULL	NULL	
3447	'Extend Time'	'Extend Time'	'Skill Boost'	'Enhanced Fire Orbs'	'Enhanced Fire Orbs'	'Enhanced Fire Orbs'	'Reduce Fire Damage'	'Reduce Water Damage'	'Resistance-Skill Bind'	
3055	'Enhanced Heart Orbs'	'Enhanced Heart Orbs'	'Enhanced Water Orbs'	'Enhanced Water Orbs'	'Resistance-Skill Bind'	'Resistance-Skill Bind'	'Skill Boost'	NULL	NULL	
3154	'Enhanced Light Orbs'	'Extend Time'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	
1469	'Resistance-Bind'	'Resistance-Bind'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1631	'Enhanced Fire Orbs'	'Enhanced Water Orbs'	'Enhanced Wood Orbs'	'Enhanced Dark Orbs'	'Enhanced Light Orbs'	'Enhanced Dark Orbs'	'Enhanced Light Orbs'	'Skill Boost'	NULL	
3028	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
16	'Enhanced HP'	'Enhanced Attack'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	
2236	'Resistance-Skill Bind'	'Skill Boost'	'Skill Boost'	'Enhanced Water Attribute'	'Two-Pronged Attack'	'Enhanced Water Attribute'	'Enhanced Water Attribute'	NULL	NULL	
561	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
279	'Enhanced Attack'	'Reduce Dark Damage'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2688	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3057	'Enhanced Heart Orbs'	'Enhanced Heart Orbs'	'Enhanced Wood Orbs'	'Enhanced Wood Orbs'	'Resistance-Skill Bind'	'Resistance-Skill Bind'	'Skill Boost'	NULL	NULL	
3317	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
646	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
426	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1885	'Skill Boost'	'Skill Boost'	'Two-Pronged Attack'	'Two-Pronged Attack'	'Multi Boost'	NULL	NULL	NULL	NULL	
241	'Resistance-Poison'	'Enhanced Wood Orbs'	'Two-Pronged Attack'	'Auto-Recover'	NULL	NULL	NULL	NULL	NULL	
2515	'Enhanced Heart Orbs'	'Enhanced Heart Orbs'	'Skill Boost'	'Enhanced Fire Attribute'	NULL	NULL	NULL	NULL	NULL	
1838	'Enhanced Fire Orbs'	'Resistance-Skill Bind'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	
27	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2943	'Skill Boost'	'Resistance-Skill Bind'	'Extend Time'	'Extend Time'	'Two-Pronged Attack'	'God Killer'	NULL	NULL	NULL	
3276	'Enhanced Water Attribute'	'Enhanced Water Attribute'	'Enhanced Water Attribute'	'Enhanced Water Attribute'	'Enhanced Water Attribute'	'Skill Boost'	NULL	NULL	NULL	
86	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
896	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3420	'Skill Boost'	'Skill Boost'	'Resistance-Skill Bind'	'Auto-Recover'	'Auto-Recover'	'Auto-Recover'	'Auto-Recover'	'Auto-Recover'	'Auto-Recover'	
3030	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2896	'Two-Pronged Attack'	'Skill Boost'	'Auto-Recover'	'Auto-Recover'	'Auto-Recover'	'Resistance-Skill Bind'	'Two-Pronged Attack'	'Reduce Wood Damage'	NULL	
3213	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1240	'Enhanced Dark Attribute'	'Enhanced Dark Orbs'	'Resistance-Bind'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	
623	'Resistance-Skill Bind'	'Skill Boost'	'Enhanced Water Attribute'	'Auto-Recover'	NULL	NULL	NULL	NULL	NULL	
1627	'Two-Pronged Attack'	'Resistance-Skill Bind'	'Extend Time'	'Resistance-Skill Bind'	'Resistance-Skill Bind'	'Skill Boost'	'God Killer'	'Physical Killer'	NULL	
1348	'Enhanced Dark Attribute'	'Enhanced Heart Orbs'	'Enhanced Dark Attribute'	'Skill Boost'	'Machine Killer'	'Resistance-Skill Bind'	NULL	NULL	NULL	
2814	'Skill Boost'	'Resistance-Skill Bind'	'Extend Time'	'Enhanced Wood Attribute'	'Skill Boost'	'Extend Time'	'Resistance-Bind'	'Resistance-Bind'	'Enhanced Wood Attribute'	
665	'Enhanced Water Orbs'	'Enhanced HP'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
102	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3234	'Two-Pronged Attack'	'Resistance-Skill Bind'	'Skill Boost'	'Two-Pronged Attack'	'Two-Pronged Attack'	'Skill Boost'	'Extend Time'	NULL	NULL	
3348	'Two-Pronged Attack'	'Two-Pronged Attack'	'Extend Time'	'Resistance-Skill Bind'	'Skill Boost'	'Enhanced Combo'	'Extend Time'	NULL	NULL	
2031	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2716	'Skill Boost'	'Two-Pronged Attack'	'Two-Pronged Attack'	'Enhanced Fire Attribute'	NULL	NULL	NULL	NULL	NULL	
151	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
281	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2963	'Enhanced Water Orbs'	'Enhanced Water Orbs'	'Enhanced Water Attribute'	NULL	NULL	NULL	NULL	NULL	NULL	
3042	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1599	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2399	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
772	'Enhanced Fire Orbs'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
52	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
710	'Reduce Light Damage'	'Enhanced Light Orbs'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1332	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3044	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2390	'Two-Pronged Attack'	'Skill Boost'	'Enhanced Wood Orbs'	'Resistance-Skill Bind'	'Enhanced Wood Orbs'	'Enhanced Heart Orbs'	'Skill Boost'	'Enhanced Wood Orbs'	'Extend Time'	
2642	'Skill Boost'	'Enhanced Fire Attribute'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2674	'Recover Bind'	'Resistance-Bind'	'Resistance-Bind'	'Resistance-Skill Bind'	'Skill Boost'	'Extend Time'	NULL	NULL	NULL	
2987	'Skill Boost'	'Skill Boost'	'Extend Time'	'Enhanced Wood Attribute'	'Resistance-Bind'	'Resistance-Bind'	NULL	NULL	NULL	
2888	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1054	'Enhanced HP'	'Reduce Dark Damage'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1059	'Enhanced Fire Orbs'	'Enhanced Fire Attribute'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
407	'Resistance-Poison'	'Skill Boost'	'Enhanced Dark Attribute'	NULL	NULL	NULL	NULL	NULL	NULL	
3117	'Enhanced Heart Orbs'	'Resistance-Skill Bind'	'Recover Bind'	'Enhanced Dark Attribute'	'Auto-Recover'	'Auto-Recover'	'Auto-Recover'	'Auto-Recover'	'Skill Boost'	
1944	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1212	'Resistance-Bind'	'Skill Boost'	'Enhanced Wood Attribute'	NULL	NULL	NULL	NULL	NULL	NULL	
765	'Two-Pronged Attack'	'Enhanced Heal'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1675	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3402	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
131	'Enhanced Dark Orbs'	'Resistance-Dark'	'Skill Boost'	'Enhanced Dark Attribute'	NULL	NULL	NULL	NULL	NULL	
3377	'Two-Pronged Attack'	'Enhanced Fire Attribute'	'Skill Boost'	'Skill Boost'	'Dragon Killer'	'Resistance-Skill Bind'	NULL	NULL	NULL	
9	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2209	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2263	'Resistance-Skill Bind'	'Skill Boost'	'Enhanced Water Attribute'	NULL	NULL	NULL	NULL	NULL	NULL	
567	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2990	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
985	'Skill Boost'	'Enhanced Dark Orbs'	'Two-Pronged Attack'	NULL	NULL	NULL	NULL	NULL	NULL	
2759	'Skill Boost'	'Resistance-Skill Bind'	'Extend Time'	'Enhanced Light Attribute'	NULL	NULL	NULL	NULL	NULL	
3495	'Enhanced Heart Orbs'	'Enhanced Heart Orbs'	'Two-Pronged Attack'	'Skill Boost'	'Enhanced Light Orbs'	'Two-Pronged Attack'	'Resistance-Skill Bind'	'Enhanced Light Orbs'	'Extend Time'	
1957	'Skill Boost'	'Enhanced Fire Orbs'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
94	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
434	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
625	'Resistance-Skill Bind'	'Skill Boost'	'Enhanced Wood Attribute'	'Auto-Recover'	NULL	NULL	NULL	NULL	NULL	
2241	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3263	'Enhanced Dark Attribute'	'Enhanced Water Attribute'	'Enhanced Water Attribute'	'Enhanced Water Attribute'	'Skill Boost'	'Enhanced Water Attribute'	'Extend Time'	'Resistance-Skill Bind'	'Skill Boost'	
1760	'Skill Boost'	'Resistance-Skill Bind'	'Extend Time'	'Skill Boost'	'Enhanced Dark Orbs'	'Enhanced Fire Orbs'	'Enhanced Water Orbs'	'Enhanced Wood Orbs'	'Enhanced Light Orbs'	
2813	'Recover Bind'	'Resistance-Jammers'	'Resistance-Dark'	'Resistance-Skill Bind'	'Resistance-Poison'	'Skill Boost'	'Two-Pronged Attack'	'Two-Pronged Attack'	'Extend Time'	
2435	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2955	'Enhanced Heart Orbs'	'Resistance-Skill Bind'	'Recover Bind'	'Enhanced Water Attribute'	'Auto-Recover'	'Auto-Recover'	'Auto-Recover'	'Auto-Recover'	'Skill Boost'	
144	'Enhanced Wood Orbs'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3306	'Enhanced Dark Attribute'	'Enhanced Dark Attribute'	'Enhanced Dark Attribute'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	
262	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
340	'Enhanced Dark Attribute'	'Skill Boost'	'Enhanced Dark Attribute'	NULL	NULL	NULL	NULL	NULL	NULL	
3416	'Two-Pronged Attack'	'Two-Pronged Attack'	'Skill Boost'	'Extend Time'	'Extend Time'	'Resistance-Skill Bind'	NULL	NULL	NULL	
2757	'Skill Boost'	'Skill Boost'	'Extend Time'	'Enhanced Water Orbs'	NULL	NULL	NULL	NULL	NULL	
3284	'Enhanced Dark Attribute'	'Enhanced Dark Attribute'	'Skill Boost'	'Physical Killer'	'Machine Killer'	NULL	NULL	NULL	NULL	
242	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
479	'Enhanced Dark Orbs'	'Enhanced Dark Attribute'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2982	'Enhanced Water Orbs'	'Two-Pronged Attack'	'Two-Pronged Attack'	'Resistance-Dark'	'Resistance-Skill Bind'	'Skill Boost'	'Extend Time'	'Skill Boost'	'Resistance-Dark'	
1975	'Resistance-Skill Bind'	'Skill Boost'	'Reduce Dark Damage'	'Reduce Dark Damage'	'Reduce Dark Damage'	'Reduce Dark Damage'	NULL	NULL	NULL	
361	'Skill Boost'	'Enhanced Heart Orbs'	'Enhanced Dark Attribute'	'Enhanced Dark Orbs'	'Enhanced Dark Orbs'	NULL	NULL	NULL	NULL	
1684	'Two-Pronged Attack'	'Extend Time'	'Enhanced Light Orbs'	NULL	NULL	NULL	NULL	NULL	NULL	
2889	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
967	'Enhanced Water Orbs'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
560	'Two-Pronged Attack'	'Enhanced Wood Attribute'	'Skill Boost'	'Resistance-Poison'	NULL	NULL	NULL	NULL	NULL	
2117	'Resistance-Skill Bind'	'Skill Boost'	'Enhanced Water Attribute'	'Enhanced Water Attribute'	NULL	NULL	NULL	NULL	NULL	
2566	'Enhanced Water Attribute'	'Enhanced Water Orbs'	'Enhanced Dark Attribute'	'Recover Bind'	'Skill Boost'	'Skill Boost'	'Resistance-Skill Bind'	'Extend Time'	'Enhanced Water Attribute'	
1290	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
899	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3230	'Two-Pronged Attack'	'Skill Boost'	'Auto-Recover'	'Auto-Recover'	'Auto-Recover'	'Auto-Recover'	'Auto-Recover'	'Auto-Recover'	'Auto-Recover'	
2437	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2991	'Skill Boost'	'Extend Time'	'Resistance-Skill Bind'	'Enhanced Fire Orbs'	'Enhanced Fire Orbs'	'Enhanced Fire Orbs'	'Enhanced Fire Orbs'	'Enhanced Fire Orbs'	NULL	
2407	'Two-Pronged Attack'	'Skill Boost'	'Extend Time'	'Two-Pronged Attack'	'Resistance-Skill Bind'	'Skill Boost'	NULL	NULL	NULL	
347	'Enhanced Wood Attribute'	'Enhanced HP'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1948	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2993	'Skill Boost'	'Extend Time'	'Resistance-Skill Bind'	'Enhanced Water Orbs'	'Enhanced Water Orbs'	'Enhanced Water Orbs'	NULL	NULL	NULL	
274	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3047	'Enhanced Dark Attribute'	'Reduce Fire Damage'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1244	'Enhanced Fire Attribute'	'Auto-Recover'	'Resistance-Bind'	'Skill Boost'	'Auto-Recover'	'Skill Boost'	'Resistance-Bind'	'Resistance-Skill Bind'	'Enhanced Combo'	
2498	'Resistance-Skill Bind'	'Skill Boost'	'Enhanced Fire Attribute'	'Auto-Recover'	'Enhanced Fire Attribute'	'Enhanced Fire Attribute'	'Auto-Recover'	'Auto-Recover'	'Auto-Recover'	
1081	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1062	'Resistance-Poison'	'Enhanced Dark Orbs'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	
3504	'Enhanced Light Orbs'	'Two-Pronged Attack'	'Enhanced Heart Orbs'	'Resistance-Skill Bind'	'Enhanced Light Orbs'	'Skill Boost'	'Two-Pronged Attack'	'Extend Time'	'Enhanced Light Orbs'	
1734	'Enhanced Wood Attribute'	'Recover Bind'	'Skill Boost'	'Resistance-Skill Bind'	'Skill Boost'	'Resistance-Skill Bind'	'Extend Time'	NULL	NULL	
219	'Enhanced Light Orbs'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3392	'Skill Boost'	'Enhanced Fire Attribute'	'Enhanced Fire Attribute'	'Skill Boost'	'Skill Boost'	'Enhanced Fire Attribute'	'Enhanced Fire Attribute'	'Enhanced Fire Attribute'	'Enhanced Fire Attribute'	
971	'Reduce Wood Damage'	'Reduce Wood Damage'	'Reduce Wood Damage'	'Reduce Wood Damage'	'Reduce Wood Damage'	'Enhanced Wood Orbs'	'Skill Boost'	NULL	NULL	
3007	'Two-Pronged Attack'	'Resistance-Skill Bind'	'Skill Boost'	'Extend Time'	'Recover Bind'	'Skill Boost'	'Two-Pronged Attack'	'Multi Boost'	NULL	
757	'Reduce Wood Damage'	'Reduce Wood Damage'	'Resistance-Bind'	'Resistance-Bind'	'Recover Bind'	NULL	NULL	NULL	NULL	
2327	'Enhanced Light Attribute'	'Enhanced Light Orbs'	'Auto-Recover'	'Auto-Recover'	'Auto-Recover'	'Skill Boost'	'Resistance-Skill Bind'	NULL	NULL	
335	'Enhanced Light Attribute'	'Skill Boost'	'Enhanced Light Attribute'	NULL	NULL	NULL	NULL	NULL	NULL	
2065	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1694	'Resistance-Bind'	'Resistance-Bind'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2266	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
290	'Reduce Wood Damage'	'Reduce Wood Damage'	'Resistance-Bind'	NULL	NULL	NULL	NULL	NULL	NULL	
118	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1238	'Enhanced Light Attribute'	'Enhanced Water Attribute'	'Extend Time'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	
2501	'Enhanced Light Attribute'	'Skill Boost'	'Recover Bind'	'Enhanced Light Attribute'	'Enhanced Light Attribute'	'Enhanced Light Attribute'	'Skill Boost'	'Resistance-Skill Bind'	'Enhanced Light Attribute'	
1730	'Two-Pronged Attack'	'Enhanced Wood Attribute'	'Enhanced Heart Orbs'	'Skill Boost'	'Two-Pronged Attack'	'Enhanced Wood Attribute'	'Reduce Wood Damage'	'Guard Break'	'Enhanced Combo'	
60	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2615	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1124	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2806	'Enhanced Heal'	'Enhanced Fire Orbs'	'Skill Boost'	'Enhanced Fire Orbs'	'Enhanced Light Orbs'	'Enhanced Light Orbs'	NULL	NULL	NULL	
1293	'Resistance-Skill Bind'	'Auto-Recover'	'Resistance-Bind'	'Skill Boost'	'Resistance-Bind'	NULL	NULL	NULL	NULL	
2436	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2778	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1459	'Enhanced Light Orbs'	'Skill Boost'	'Resistance-Dark'	'Resistance-Skill Bind'	NULL	NULL	NULL	NULL	NULL	
1647	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1974	'Enhanced Dark Orbs'	'Skill Boost'	'Enhanced Dark Orbs'	'Extend Time'	'Resistance-Skill Bind'	NULL	NULL	NULL	NULL	
2512	'Enhanced Fire Attribute'	'Enhanced Wood Attribute'	'Recover Bind'	'Skill Boost'	'Skill Boost'	'Extend Time'	'Enhanced Fire Attribute'	NULL	NULL	
555	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
599	'Reduce Fire Damage'	'Enhanced Fire Orbs'	'Resistance-Skill Bind'	NULL	NULL	NULL	NULL	NULL	NULL	
2446	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1678	'Two-Pronged Attack'	'Skill Boost'	'Resistance-Skill Bind'	'Two-Pronged Attack'	NULL	NULL	NULL	NULL	NULL	
